campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2019-2020,06,3704.7999999999997,2558.3099999999995,1130.71,15.780000000000001,426.9,2074.3,1203.6,17.0,2105.38,2137.28,1353.1299999999999,746.55,5.7,317.85,81.57990000000001,1332.0,,,,,33.376576576576575,2.7813813813813812,25.807582505004294,15.097037114440148,11.522889224789463
2020-2021,06,3640.59,2859.09,770.3499999999999,11.15,417.65,1916.7200000000003,1306.22,17.0,2047.41,2074.21,1328.24,714.17,5.0,318.48,80.6016,2161.0,,3704.7999999999997,2111.62,49.38000000000011,20.216140675613143,1.6846783896344286,25.401604930919486,15.555262502381057,11.472041619627586
2021-2022,06,2802.8699999999994,2022.8899999999999,770.23,9.75,251.21,1728.23,823.43,17.0,2186.72,2213.6699999999996,1266.72,909.8,10.2,402.14,79.8783,2950.0,,3640.59,3024.44,-74.44000000000005,11.40150508474576,0.9501254237288134,27.375645200260895,18.390100241457528,8.9625990502592
2022-2023,06,2182.8099999999995,1570.86,578.75,33.2,153.35,1489.11,540.35,16.0,1812.8100000000004,1829.9600000000005,1035.0100000000002,761.2,16.6,341.93,80.17409999999998,2216.0,,2802.8699999999994,2432.870000000001,-216.8700000000008,11.820270758122742,0.9850225631768951,22.61091798972487,18.861877416828015,7.025348060527486
2023-2024,06,2712.34,1897.0900000000001,694.85,120.4,236.28000000000003,1729.8799999999999,746.1800000000001,17.0,2361.8,2386.1000000000004,1337.05,966.6,58.15,442.45,80.6856,1609.0,,2182.8099999999995,1832.2699999999995,-223.26999999999953,20.228763206960846,1.6857302672467371,29.271642027821574,18.733593022271148,8.711297256243688
2024-2025,06,2937.45,2084.7200000000003,741.0899999999999,111.64000000000001,270.65000000000003,1847.8600000000001,818.94,17.0,2006.5800000000002,2037.7399999999996,1210.92,730.75,64.91,388.7,86.8663,1881.0,,2712.34,1781.4700000000003,99.52999999999975,18.739712918660285,1.5616427432216904,23.099637028398817,19.371268526547656,9.213773851469814
2019-2020,07,332381.78,86690.38,223844.74,21846.660000000003,60799.6,216918.84000000003,54663.34,238.0,509572.01000000007,522095.12000000005,108738.22,382021.72000000003,18442.290000000005,133198.0,10231.055300000002,827895.0,,,,,4.8177381914373205,0.4014781826197767,49.80639778185932,26.13919080838054,18.292097719676452
2020-2021,07,375239.54,90858.04,266271.5,18110.0,88077.03,230106.01,57056.50000000001,248.0,510566.39,523074.09,105906.31,388170.05000000005,15827.53,174650.10000000003,10314.4204,768436.0,,332381.78,467708.63000000006,300727.36999999994,5.859791160226746,0.4883159300188955,49.50025015462817,34.207128283551924,23.472214575255048
2021-2022,07,398474.51999999996,96394.17,277889.77,24190.58,78353.62,272742.83,47378.07,244.0,490094.95999999996,501914.61,109916.68999999999,359401.7,19377.4,131334.26,10322.260400000001,760656.0,,375239.54,466859.98000000004,293796.01999999996,6.286276897835552,0.5238564081529626,47.4794222397257,26.797716915921765,19.663395290619835
2022-2023,07,378269.23999999993,92143.85,267827.95999999996,18297.43,85416.33,250846.83999999997,42006.07000000001,250.0,479387.93000000017,491212.2200000002,97994.1300000001,365585.02,15805.350000000004,157867.8400000001,10258.18579999999,886712.0,,398474.51999999996,499593.21000000025,387118.78999999975,5.119171591226913,0.4265976326022428,46.73223310110065,32.93112532057285,22.580828935495788
2023-2024,07,363827.3399999999,80796.39000000001,257397.1,25633.85,79511.02000000002,234871.90000000002,49444.42,254.0,514027.01999999984,526239.9400000003,100968.36000000007,389656.2699999997,23054.43,164681.31999999975,10308.566400000003,832388.0,,378269.23999999993,528468.9199999999,303919.0800000001,5.2450636962570325,0.4370886413547527,49.86406451240394,32.03748316576817,21.854053079133646
2024-2025,07,339815.63000000006,77603.62000000001,243106.15,19105.86,61147.75,232279.59,46388.28999999999,257.0,489187.66000000003,499428.0399999996,96049.55999999998,374758.62,17720.01,160611.7700000001,10283.739699999993,932876.0,,363827.3399999999,513199.36999999994,419676.63000000006,4.3711999879941175,0.3642666656661765,47.56904338992559,32.83234290905868,17.99439007558304
2019-2020,08,,,,,,,,,,,,,,,,0.0,,,,,,,,,
2020-2021,08,,,,,,,,,2.0,2.0,0.0,0.0,2.0,0.0,1.7118,0.0,,,,,,,1.168360789811894,0.0,
2021-2022,08,,,,,,,,,,,,,,,,0.0,,,,,,,,,
2022-2023,08,6.6899999999999995,0.0,0.0,6.6899999999999995,0.43,0.0,6.26,1.0,23.98,23.98,0.0,0.0,23.98,3.5,1.3,29.0,,,,,2.7682758620689656,0.23068965517241377,18.446153846153845,14.595496246872393,6.427503736920778
2023-2024,08,10.23,0.0,0.0,10.23,3.48,0.0,6.75,2.0,10.700000000000001,10.700000000000001,0.0,0.0,10.700000000000001,0.0,1.371,13.0,,6.6899999999999995,7.16,5.84,9.443076923076925,0.786923076923077,7.8045222465353765,0.0,34.01759530791789
2024-2025,08,2.6500000000000004,0.0,0.0,2.6500000000000004,0.79,0.0,1.86,2.0,,,,,,,,17.0,,10.23,,,1.8705882352941179,0.1558823529411765,,,29.81132075471698
2019-2020,09,1245.58,0.0,1245.58,0.0,99.99,1095.2,50.39,2.0,2180.7200000000003,2233.9500000000003,0.0,2016.68,164.04000000000002,265.5,67.5211,1681.0,,,,,8.89170731707317,0.7409756097560976,32.29686720151182,12.174878021937708,8.027585542478203
2020-2021,09,1335.39,0.0,1335.39,0.0,112.7,1186.49,36.2,2.0,2287.15,2329.4900000000002,0.0,2071.36,215.79,239.8,66.8611,1871.0,,1245.58,2197.34,-326.34000000000015,8.564767504008552,0.713730625334046,34.20748387328357,10.484664320223859,8.439482098862504
2021-2022,09,1795.96,0.0,1757.73,38.23,92.13,1604.61,99.22,3.0,1858.04,1908.32,0.0,1728.44,129.6,250.5,69.97169999999998,2210.0,,1335.39,1397.4700000000003,812.5299999999997,9.751819004524888,0.8126515837104072,26.55416404060499,13.481948720156725,5.129846989910688
2022-2023,09,1903.84,0.0,1857.6699999999998,46.17,102.74,1721.0,80.1,3.0,2138.6,2187.63,0.0,1955.6,182.99999999999997,298.5,73.0628,1739.0,,1795.96,2030.72,-291.72,13.137481311098332,1.0947901092581944,29.27070958134646,13.957729355653232,5.396461887553576
2023-2024,09,1225.19,0.0,1200.21,24.98,14.47,1165.72,45.0,3.0,769.55,803.1,0.0,699.0,70.55,107.0,69.2128,1521.0,,1903.84,1448.1999999999998,72.80000000000018,9.666193293885602,0.8055161078238001,11.118608118729483,13.904229744655968,1.181041307878778
2024-2025,09,1203.9099999999999,0.0,1162.4199999999998,41.489999999999995,57.6,1069.81,76.5,3.0,1521.91,1554.0200000000002,0.0,1354.01,167.9,213.76,65.0452,1347.0,,1225.19,1543.1900000000005,-196.1900000000005,10.725256124721602,0.8937713437268002,23.397729578815966,14.04550860431957,4.784410794826856
2019-2020,10,531546.7799999996,531546.7799999996,0.0,0.0,23747.419999999987,2017.27,505782.0899999995,698.0,472941.36,501569.64,472937.56,0.0,3.8,0.0,7121.1472,275842.0,,,,,23.12396719861368,1.92699726655114,66.41364750892946,0.0,4.467606783357808
2020-2021,10,524260.69999999995,524260.69999999995,0.0,0.0,22488.04,2050.24,499722.42,672.0,383331.15,425282.11000000004,383331.15,0.0,0.0,0.0,7112.7813,297753.0,,531546.7799999996,390617.22999999963,-92864.22999999963,21.128681826883355,1.760723485573613,53.893285036051935,0.0,4.289476590558857
2021-2022,10,422693.75,422693.75,0.0,0.0,19221.75,1307.28,402164.72,642.0,275468.46,279770.32,275468.46,0.0,0.0,0.0,7015.0233,334396.0,,524260.69999999995,377035.4099999999,-42639.409999999916,15.168617447577125,1.2640514539647603,39.26835994970965,0.0,4.5474412621431
2022-2023,10,473367.02,473367.02,0.0,0.0,22930.09,1917.04,448519.89,638.0,638929.329999999,667290.559999999,638929.329999999,0.0,0.0,0.0,6648.9228000000085,399691.0,,422693.75,588256.0599999991,-188565.05999999912,14.211989361781976,1.1843324468151648,96.09516446784406,0.0,4.844040465683477
2023-2024,10,470124.32,468250.07,0.0,1874.25,22924.63,1638.2,445561.49,576.0,642760.7100000014,682359.4100000001,642755.7100000014,0.0,5.0,0.0,6954.045100000015,303533.0,,473367.02,646003.4100000013,-342470.4100000013,18.58609060629322,1.5488408838577683,92.42975861631959,0.0,4.8762910202135465
2024-2025,10,510525.62,508554.45,0.0,1971.17,23116.51,1308.56,486100.55,572.0,213108.2199999999,211604.55000000005,212906.0199999999,0.0,202.2,202.2,6808.573400000002,255416.0,,470124.32,172706.91999999993,82709.08000000007,23.985605600275626,1.9988004666896357,31.29998128535999,0.09488137060128421,4.52798235669348
2019-2020,11,2466059.44,849534.7500000002,1404454.0099999998,212070.68000000005,261522.28999999998,1816631.3199999998,387905.8300000001,734.0,3788256.22,3857267.5500000003,728480.23,2813735.3000000003,245831.50999999998,507057.4700000001,64597.4012,5273849.0,,,,,5.611217401180807,0.4676014500984006,58.6440963510464,13.384983500403255,10.604865631300434
2020-2021,11,2650987.2300000004,786369.58,1622633.19,241984.46,385769.66000000003,1837463.7999999998,427753.77,737.0,3741781.0600000005,3806161.3200000003,626595.99,2810378.0599999996,304713.95,639465.81,64052.800200000005,5506413.0,,2466059.44,3556853.2699999996,1949559.7300000004,5.777235881144405,0.4814363234287004,58.41713474378284,17.08987778135795,14.551924491918431
2021-2022,11,2258595.15,719277.72,1384146.62,155170.81,334025.31,1610855.4300000002,313714.41000000003,723.0,2839060.9600000004,2885402.9600000004,533751.05,2135347.02,169962.89,447409.48999999993,63586.40839999999,5036794.0,,2650987.2300000004,3231453.0400000014,1805340.9599999986,5.381030433247816,0.44841920277065134,44.648864929443015,15.759065983563799,14.78907408439268
2022-2023,11,2816350.67,811530.91,1811770.8800000001,193048.88,380569.32999999996,1975014.62,460766.72,750.0,3835405.270000004,3904402.840000004,652166.3500000007,2795535.370000004,386802.12000000005,578407.1900000001,63422.36309999987,5161461.0,,2258595.15,3277649.7500000037,1883811.2499999963,6.547798780229086,0.5456498983524238,60.47402024350007,15.080732003061554,13.51285314197042
2023-2024,11,2560842.390000001,738810.92,1655069.61,166961.86,313717.15,1734926.4300000002,512198.81000000006,754.0,3179800.630000001,3220119.98,514599.54000000004,2373272.7700000005,291714.8400000001,490249.6900000006,62565.270899999916,4752985.0,,2816350.67,3435308.9099999997,1317676.0900000003,6.465433549653537,0.5387861291377947,50.823733107179834,15.417623525661117,12.250545024756478
2024-2025,11,2152843.8200000003,603990.02,1394230.1199999999,154623.68,324591.00999999995,1408279.35,419973.45999999996,756.0,2584443.8099999996,2618966.559999984,380645.55999999994,2029373.449999999,174376.39000000004,516299.46999999974,61296.79219999992,4617683.0,,2560842.390000001,2992442.380000001,1625240.6199999992,5.594607910504035,0.46621732587533626,42.16279053506494,19.97719849827185,15.077313411429907
2019-2020,12,18508.109999999997,16000.109999999999,2040.2699999999995,467.73,1425.8000000000002,16403.019999999997,679.29,66.0,11375.17,11718.01,8795.320000000002,1988.5,591.35,1815.49,386.92599999999993,10681.0,,,,,20.79368223949068,1.73280685329089,29.398825615233925,15.960113123584089,7.703649913470367
2020-2021,12,21906.02,18448.23,2867.58,590.21,1609.4600000000003,19536.77,759.79,60.0,14812.189999999999,15240.3,10966.31,2795.69,1050.19,2035.4200000000003,387.9826,11762.0,,18508.109999999997,11414.279999999995,347.7200000000048,22.349280734568953,1.8624400612140792,38.177459504627265,13.741519653744655,7.347112802782068
2021-2022,12,17567.93,14883.01,2303.25,381.67,1025.23,16192.779999999999,349.92,61.0,8157.679999999999,8364.59,5589.95,2077.02,490.71000000000004,1088.44,397.7931,14167.0,,21906.02,12495.77,1671.2299999999996,14.880719983059222,1.2400599985882685,20.507344144481138,13.342518951466595,5.835804218254513
2022-2023,12,19863.89,16196.93,3217.66,449.29999999999995,931.35,18407.95,524.59,58.0,12743.959999999997,13087.329999999998,9371.759999999998,2591.4500000000003,780.7499999999999,1535.59,399.87800000000004,11699.0,,17567.93,10448.0,1251.0,20.374961962560903,1.697913496880075,31.86962023417141,12.049551316859127,4.688658666555242
2023-2024,12,18512.71,15646.12,2114.56,752.03,1053.52,17098.54,360.65,57.0,9386.430000000002,9564.040000000003,7237.350000000001,1684.82,464.26,1517.83,398.61499999999995,10686.0,,19863.89,10737.61,-51.61000000000058,20.789118472768106,1.7324265393973421,23.547608594759364,16.17047162765822,5.690792974124264
