,_section,Argentina,Australia,Chile,France,Italy,South Africa,Spain,USA,Still_Bottled,Still_Bulk,Sparkling,Still_2to10L,trade,vol,unit_price,avg_price,avg_rating,count,under_10,10_15,15_20,20_30,30_50,50_100,100_plus,mean,50%,std
Rhône Valley,b3_france_provinces,,,,,,,,,,,,,,,,16.41,87.78,140.0,,,,,,,,,,
Bordeaux,b3_france_provinces,,,,,,,,,,,,,,,,20.7,86.2,200.0,,,,,,,,,,
Champagne,b3_france_provinces,,,,,,,,,,,,,,,,89.04,89.19,308.0,,,,,,,,,,
Provence,b3_france_provinces,,,,,,,,,,,,,,,,22.09,88.16,825.0,,,,,,,,,,
Argentina,b4_rating_distribution,,,,,,,,,,,,,,,,,,64.0,,,,,,,,84.27,84.0,2.23
Chile,b4_rating_distribution,,,,,,,,,,,,,,,,,,53.0,,,,,,,,84.15,84.0,1.79
Portugal,b4_rating_distribution,,,,,,,,,,,,,,,,,,284.0,,,,,,,,84.62,84.0,1.58
Spain,b4_rating_distribution,,,,,,,,,,,,,,,,,,331.0,,,,,,,,85.05,85.0,2.33
South Africa,b4_rating_distribution,,,,,,,,,,,,,,,,,,35.0,,,,,,,,86.17,86.0,1.64
France,b4_rating_distribution,,,,,,,,,,,,,,,,,,2384.0,,,,,,,,87.55,87.0,2.66
Italy,b4_rating_distribution,,,,,,,,,,,,,,,,,,1243.0,,,,,,,,87.06,87.0,2.19
Australia,b4_rating_distribution,,,,,,,,,,,,,,,,,,65.0,,,,,,,,88.25,88.0,3.94
USA,b4_rating_distribution,,,,,,,,,,,,,,,,,,1640.0,,,,,,,,87.82,88.0,2.81
Austria,b4_rating_distribution,,,,,,,,,,,,,,,,,,134.0,,,,,,,,88.9,89.0,2.75
Germany,b4_rating_distribution,,,,,,,,,,,,,,,,,,26.0,,,,,,,,89.04,90.0,2.41
